"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NJHN0011","READINGTON TWP 1.8 ENE, NJ US","40.594","-74.749","64.0","2023",,,,,,,,,,
"US1NJHN0011","READINGTON TWP 1.8 ENE, NJ US","40.594","-74.749","64.0","2024",,,,,,,,,,
"US1NJHN0011","READINGTON TWP 1.8 ENE, NJ US","40.594","-74.749","64.0","2025",,,,,,,,,,
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2023","13","7,0204, ","95","7,0907, ","57.3","7","65.5","7","49.1","7"
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2024",,,,,,,,,,
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2025","12","7,0122,+","100","7,0625, ","55.5","7","63.2","7","47.9","7"
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2023",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2024",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2025",,,,,,,,,,
"US1NJOC0058","STAFFORD TWP 2.8 NNW, NJ US","39.7412112","-74.2906811","28.7","2025",,,,,,,,,,
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2023","3","W,0204, ","96","W,0907,+","56.1","W","65.7","W","46.5","W"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2024","7","W,1223, ","99","W,0716, ","56.7","W","66.2","W","47.3","W"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2025","-2","d,0122, ","101","d,0624, ","54.2","d","63.6","d","44.7","d"
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2023",,,,,,,,,,
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2024",,,,,,,,,,
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2025",,,,,,,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2023",,,,,,,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2024",,,,,,,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2025",,,,,,,,,,
"USC00281327","CANISTEAR RESERVOIR, NJ US","41.10922","-74.48275","370.0","2023",,,,,,,,,,
"USC00281327","CANISTEAR RESERVOIR, NJ US","41.10922","-74.48275","370.0","2024",,,,,,,,,,
"USC00281327","CANISTEAR RESERVOIR, NJ US","41.10922","-74.48275","370.0","2025",,,,,,,,,,
"US1NJGL0001","PITMAN 0.1 W, NJ US","39.733175","-75.133069","36.0","2023",,,,,,,,,,
"US1NJGL0001","PITMAN 0.1 W, NJ US","39.733175","-75.133069","36.0","2025",,,,,,,,,,
"USC00286979","PHILLIPSBURG EASTON BRIDGE, NJ US","40.69555","-75.19994","70.7","2023","4","7,0205, ","95","7,0603, ","54.0","7","64.3","7","43.7","7"
"USC00286979","PHILLIPSBURG EASTON BRIDGE, NJ US","40.69555","-75.19994","70.7","2024","5","H,1224, ","97","H,0717,+","54.2","H","64.4","H","44.0","H"
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2023",,,,,,,,,,
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2024",,,,,,,,,,
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2025",,,,,,,,,,
"US1NJPS0040","WAYNE TWP 4.2 NNW, NJ US","41.006785","-74.266384","89.0","2023",,,,,,,,,,
"US1NJPS0040","WAYNE TWP 4.2 NNW, NJ US","41.006785","-74.266384","89.0","2025",,,,,,,,,,
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2023","5","7,0205,+","97","7,0908, ","55.6","7","65.6","7","45.5","7"
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2024","6","7,1224,+","100","7,0717, ","55.8","7","66.0","7","45.7","7"
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2025",,,,,,,,,,
"US1NJMC0038","EAST WINDSOR TWP 1.6 W, NJ US","40.2628","-74.5593","33.2","2023",,,,,,,,,,
"US1NJMC0038","EAST WINDSOR TWP 1.6 W, NJ US","40.2628","-74.5593","33.2","2024",,,,,,,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2023",,,,,,,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2024",,,,,,,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2025",,,,,,,,,,
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2023",,,"97","7,0908, ",,,"66.2","7",,
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2024","10","7,1224,+","99","7,0717,+","56.6","7","66.6","7","46.6","7"
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2025","7","7,0124,+","100","7,0624, ","55.2","7","64.3","7","46.0","7"
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2023",,,,,,,,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2024",,,,,,,,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2025",,,,,,,,,,
"US1NJHN0001","CALIFON 0.6 NW, NJ US","40.726083","-74.843256","178.3","2023",,,,,,,,,,
"US1NJHN0001","CALIFON 0.6 NW, NJ US","40.726083","-74.843256","178.3","2024",,,,,,,,,,
"US1NJCM0007","WOODBINE 0.8 NNW, NJ US","39.237795","-74.817278","13.1","2024",,,,,,,,,,
"US1NJCM0007","WOODBINE 0.8 NNW, NJ US","39.237795","-74.817278","13.1","2025",,,,,,,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2023",,,,,,,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2024",,,,,,,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2025",,,,,,,,,,
"USC00288884","TETERBORO AIRPORT, NJ US","40.85898","-74.05616","1.2","2024",,,,,,,,,,
"USC00288884","TETERBORO AIRPORT, NJ US","40.85898","-74.05616","1.2","2025","6","H,0121, ","101","H,0730,+","55.0","H","64.1","H","45.9","H"
"US1NJBT0094","WILLINGBORO TWP 1.3 ESE, NJ US","40.021885","-74.864085","10.7","2024",,,,,,,,,,
"US1NJBT0094","WILLINGBORO TWP 1.3 ESE, NJ US","40.021885","-74.864085","10.7","2025",,,,,,,,,,
"USC00288880","EWING 3 WNW, NJ US","40.28507","-74.84204","53.6","2023","8","7,0204, ","93","7,0907,+","54.9","7","64.8","7","45.0","7"
"USC00288880","EWING 3 WNW, NJ US","40.28507","-74.84204","53.6","2024","5","7,1223, ","98","7,0716, ","55.3","7","65.1","7","45.5","7"
"USC00288880","EWING 3 WNW, NJ US","40.28507","-74.84204","53.6","2025","2","7,0122, ","99","7,0624, ","53.2","7","62.9","7","43.5","7"
"US1NJBT0090","EVESHAM TWP 2.6 NNW, NJ US","39.8959923951514","-74.9125401637304","25.0","2023",,,,,,,,,,
"US1NJBT0090","EVESHAM TWP 2.6 NNW, NJ US","39.8959923951514","-74.9125401637304","25.0","2024",,,,,,,,,,
"USC00286460","OAK RIDGE RESERVOIR, NJ US","41.03564","-74.50124","258.2","2023",,,,,,,,,,
"USC00286460","OAK RIDGE RESERVOIR, NJ US","41.03564","-74.50124","258.2","2024",,,,,,,,,,
"USC00286460","OAK RIDGE RESERVOIR, NJ US","41.03564","-74.50124","258.2","2025",,,,,,,,,,
"US1NJBT0006","MOORESTOWN TWP 0.6 SE, NJ US","39.971632","-74.934302","23.8","2025",,,,,,,,,,
"USC00280927","BOUND BROOK 2 W, NJ US","40.55602","-74.57178","16.8","2024",,,,,,,,,,
"USC00280927","BOUND BROOK 2 W, NJ US","40.55602","-74.57178","16.8","2025",,,,,,,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2023",,,,,,,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2024",,,,,,,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2025",,,,,,,,,,
"US1NJBT0003","BURLINGTON 1.7 E, NJ US","40.0786","-74.8209","7.0","2023",,,,,,,,,,
"US1NJBT0003","BURLINGTON 1.7 E, NJ US","40.0786","-74.8209","7.0","2025",,,,,,,,,,
"US1NJBT0089","MEDFORD TWP 3.3 N, NJ US","39.911158","-74.81347","15.5","2023",,,,,,,,,,
"US1NJBT0089","MEDFORD TWP 3.3 N, NJ US","39.911158","-74.81347","15.5","2024",,,,,,,,,,
"US1NJBT0089","MEDFORD TWP 3.3 N, NJ US","39.911158","-74.81347","15.5","2025",,,,,,,,,,
"US1NJMD0074","HIGHLAND PARK 0.5 E, NJ US","40.50039","-74.41942","36.3","2023",,,,,,,,,,
"US1NJMD0074","HIGHLAND PARK 0.5 E, NJ US","40.50039","-74.41942","36.3","2024",,,,,,,,,,
"US1NJPS0042","WAYNE TWP 2.3 ESE, NJ US","40.9306","-74.207","137.5","2023",,,,,,,,,,
"US1NJPS0042","WAYNE TWP 2.3 ESE, NJ US","40.9306","-74.207","137.5","2025",,,,,,,,,,
"US1NJMD0078","EAST BRUNSWICK TWP 0.8 NNE, NJ US","40.43875","-74.41266","29.3","2023",,,,,,,,,,
"US1NJMD0078","EAST BRUNSWICK TWP 0.8 NNE, NJ US","40.43875","-74.41266","29.3","2025",,,,,,,,,,
"US1NJOC0106","BARNEGAT LIGHT 0.6 N, NJ US","39.762","-74.10834","2.1","2024",,,,,,,,,,
"US1NJOC0106","BARNEGAT LIGHT 0.6 N, NJ US","39.762","-74.10834","2.1","2025",,,,,,,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2023",,,,,,,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2024",,,,,,,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2025",,,,,,,,,,
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2023","-3","7,0205,+","93","7,0603, ","52.4","7","62.1","7","42.7","7"
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2024","-1","7,1224,+","96","7,0717, ","52.9","7","63.0","7","42.7","7"
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2025","-10","7,0123,+","97","7,0730,+","51.1","7","61.1","7","41.1","7"
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2023",,,,,,,,,,
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2024",,,,,,,,,,
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2025",,,,,,,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2023",,,,,,,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2024",,,,,,,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2025",,,,,,,,,,
"US1NJMC0065","HAMILTON TWP 2.6 NNE, NJ US","40.2361489316549","-74.6502706307096","27.1","2023",,,,,,,,,,
"US1NJMC0065","HAMILTON TWP 2.6 NNE, NJ US","40.2361489316549","-74.6502706307096","27.1","2024",,,,,,,,,,
"US1NJMC0065","HAMILTON TWP 2.6 NNE, NJ US","40.2361489316549","-74.6502706307096","27.1","2025",,,,,,,,,,
"US1NJAT0017","EGG HARBOR CITY 3.6 SW, NJ US","39.531434","-74.647077","17.4","2024",,,,,,,,,,
"US1NJAT0017","EGG HARBOR CITY 3.6 SW, NJ US","39.531434","-74.647077","17.4","2025",,,,,,,,,,
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2023","12","W,0204, ","97","W,0906, ","56.6","W","66.6","W","46.5","W"
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2024","7","W,1223, ","98","W,0623,+","57.0","W","66.9","W","47.0","W"
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2025","6","D,0123, ","102","D,0625,+","55.3","D","64.9","D","45.7","D"
"US1NJHN0031","FRENCHTOWN 0.5 N, NJ US","40.5342","-75.0559","88.4","2024",,,,,,,,,,
"USC00289187","WANAQUE RAYMOND DAM, NJ US","41.04156","-74.29718","71.9","2023",,,,,,,,,,
"USC00289187","WANAQUE RAYMOND DAM, NJ US","41.04156","-74.29718","71.9","2024",,,,,,,,,,
"US1NJCM0044","LOWER TWP 1.5 NNE, NJ US","39.001129","-74.894675","6.1","2024",,,,,,,,,,
"US1NJCM0044","LOWER TWP 1.5 NNE, NJ US","39.001129","-74.894675","6.1","2025",,,,,,,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2023",,,,,,,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2024",,,,,,,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2025",,,,,,,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2023",,,,,,,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2024",,,,,,,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2025",,,,,,,,,,
"US1NJMD0028","NEW BRUNSWICK 0.3 NE, NJ US","40.4896492","-74.4408766","12.5","2025",,,,,,,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2023",,,,,,,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2024",,,,,,,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2025",,,,,,,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2023",,,,,,,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2024",,,,,,,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2025",,,,,,,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2023",,,,,,,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2024",,,,,,,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2025",,,,,,,,,,
"US1NJSS0062","FRANKLIN 0.5 NNE, NJ US","41.117487","-74.583958","199.0","2023",,,,,,,,,,
"US1NJSS0062","FRANKLIN 0.5 NNE, NJ US","41.117487","-74.583958","199.0","2025",,,,,,,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2023",,,,,,,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2024",,,,,,,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2025",,,,,,,,,,
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2023","16","7,0204, ","94","7,0906, ","58.2","7","66.7","7","49.7","7"
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2024","10","7,1223, ","94","7,0828, ","57.8","7","66.4","7","49.3","7"
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2025",,,,,,,,,,
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2023","6","7,0205, ","97","7,0728, ","55.6","7","64.0","7","47.1","7"
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2024","12","7,1224, ","98","7,0624, ","55.4","7","63.7","7","47.1","7"
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2025","10","7,0123,+","101","7,0625, ","53.7","7","61.9","7","45.5","7"
"US1NJBG0017","GLEN ROCK 0.7 SSE, NJ US","40.95109","-74.118264","28.0","2023",,,,,,,,,,
"US1NJBG0017","GLEN ROCK 0.7 SSE, NJ US","40.95109","-74.118264","28.0","2024",,,,,,,,,,
"USC00289911","WRIGHTSTOWN, NJ US","40.03644","-74.6103","39.0","2023",,,,,,,,,,
"USC00289911","WRIGHTSTOWN, NJ US","40.03644","-74.6103","39.0","2024",,,,,,,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2023",,,,,,,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2024",,,,,,,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2025",,,,,,,,,,
"US1NJBG0015","NORTH ARLINGTON 0.7 WNW, NJ US","40.791492","-74.13979","17.7","2023",,,,,,,,,,
"US1NJBG0015","NORTH ARLINGTON 0.7 WNW, NJ US","40.791492","-74.13979","17.7","2024",,,,,,,,,,
"US1NJBG0015","NORTH ARLINGTON 0.7 WNW, NJ US","40.791492","-74.13979","17.7","2025",,,,,,,,,,
"USC00287850","SALEM, NJ US","39.56966","-75.46155","5.5","2025","5","7,0124,+","100","7,0625, ","55.5","7","65.1","7","45.8","7"
"US1NJHN0021","LEBANON 2.8 N, NJ US","40.684138","-74.838919","193.9","2024",,,,,,,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2023",,,,,,,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2024",,,,,,,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2025",,,,,,,,,,
"US1NJSM0094","GREEN BROOK TWP 0.9 S, NJ US","40.5915","-74.4848","15.8","2024",,,,,,,,,,
"US1NJSM0094","GREEN BROOK TWP 0.9 S, NJ US","40.5915","-74.4848","15.8","2025",,,,,,,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2023",,,,,,,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2024",,,,,,,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2025",,,,,,,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2023",,,,,,,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2024",,,,,,,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2025",,,,,,,,,,
"US1NJSM0092","FRANKLIN TWP 3.4 NNW, NJ US","40.523236","-74.570204","25.6","2023",,,,,,,,,,
"US1NJSM0092","FRANKLIN TWP 3.4 NNW, NJ US","40.523236","-74.570204","25.6","2024",,,,,,,,,,
"US1NJSM0092","FRANKLIN TWP 3.4 NNW, NJ US","40.523236","-74.570204","25.6","2025",,,,,,,,,,
"US1NJOC0088","JACKSON TWP 5.6 ESE, NJ US","40.077361","-74.256145","50.6","2023",,,,,,,,,,
"US1NJOC0088","JACKSON TWP 5.6 ESE, NJ US","40.077361","-74.256145","50.6","2024",,,,,,,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2023",,,,,,,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2024",,,,,,,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2025",,,,,,,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2023",,,,,,,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2024",,,,,,,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2025",,,,,,,,,,
"US1NJMD0095","MIDDLESEX 0.1 ENE, NJ US","40.5752","-74.4989","14.3","2023",,,,,,,,,,
"US1NJMD0095","MIDDLESEX 0.1 ENE, NJ US","40.5752","-74.4989","14.3","2024",,,,,,,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2023",,,,,,,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2024",,,,,,,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2025",,,,,,,,,,
"US1NJSM0012","FRANKLIN TWP 3.8 ENE, NJ US","40.500581","-74.487521","25.6","2024",,,,,,,,,,
"US1NJGL0052","MANTUA TWP 2.1 ESE, NJ US","39.750946","-75.132301","31.7","2023",,,,,,,,,,
"US1NJGL0052","MANTUA TWP 2.1 ESE, NJ US","39.750946","-75.132301","31.7","2024",,,,,,,,,,
"US1NJGL0052","MANTUA TWP 2.1 ESE, NJ US","39.750946","-75.132301","31.7","2025",,,,,,,,,,
"US1NJOC0006","BRICK TWP 1.5 NNE, NJ US","40.079664","-74.098941","6.7","2023",,,,,,,,,,
"US1NJOC0006","BRICK TWP 1.5 NNE, NJ US","40.079664","-74.098941","6.7","2024",,,,,,,,,,
"US1NJSM0011","BEDMINSTER TWP 2.9 ESE, NJ US","40.656339","-74.630458","157.3","2024",,,,,,,,,,
"US1NJSM0011","BEDMINSTER TWP 2.9 ESE, NJ US","40.656339","-74.630458","157.3","2025",,,,,,,,,,
"US1NJWR0005","HACKETTSTOWN 0.8 W, NJ US","40.851547","-74.840304","170.1","2024",,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2023",,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2024",,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025",,,,,,,,,,
"USC00282210","DENVILLE, NJ US","40.89571","-74.48372","156.7","2023",,,,,,,,,,
"USC00282210","DENVILLE, NJ US","40.89571","-74.48372","156.7","2024",,,,,,,,,,
"USC00282210","DENVILLE, NJ US","40.89571","-74.48372","156.7","2025",,,,,,,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2023",,,,,,,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2024",,,,,,,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2025",,,,,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","39.64415","-74.80478","38.1","2023",,,,,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","39.64415","-74.80478","38.1","2024",,,,,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","39.64415","-74.80478","38.1","2025",,,,,,,,,,
"US1NJES0018","MAPLEWOOD TWP 0.9 SE, NJ US","40.724466","-74.259542","72.5","2024",,,,,,,,,,
"USC00284635","LAMBERTVILLE, NJ US","40.35958","-74.94461","20.7","2023",,,,,,,,,,
"USC00284635","LAMBERTVILLE, NJ US","40.35958","-74.94461","20.7","2025",,,,,,,,,,
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2023","5","7,0205,+","96","7,0908, ","53.8","7","64.8","7","42.8","7"
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2024","1","7,1224,+","98","7,0717, ","53.9","7","65.1","7","42.7","7"
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2025","0","7,0124, ",,,,,,,"41.4","7"
