"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00281327","CANISTEAR RESERVOIR, NJ US","41.10922","-74.48275","370.0","2023",,,,,
"US1NJGL0001","PITMAN 0.1 W, NJ US","39.733175","-75.133069","36.0","2022",,,,,
"US1NJGL0001","PITMAN 0.1 W, NJ US","39.733175","-75.133069","36.0","2023",,,,,
"USC00286979","PHILLIPSBURG EASTON BRIDGE, NJ US","40.69555","-75.19994","70.7","2021","13","97","53.2","63.2","43.3"
"USC00286979","PHILLIPSBURG EASTON BRIDGE, NJ US","40.69555","-75.19994","70.7","2022","3","96","52.3","62.9","41.6"
"USC00286979","PHILLIPSBURG EASTON BRIDGE, NJ US","40.69555","-75.19994","70.7","2023","4","95","54.0","64.3","43.7"
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2021",,,,,
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2022",,,,,
"US1NJUN0017","CRANFORD TWP 1.1 NNW, NJ US","40.672178","-74.309574","21.9","2023",,,,,
"US1NJHN0009","FRANKLIN TWP 0.4 W, NJ US","40.566331","-74.944312","196.6","2021",,,,,
"US1NJHN0009","FRANKLIN TWP 0.4 W, NJ US","40.566331","-74.944312","196.6","2023",,,,,
"US1NJPS0040","WAYNE TWP 4.2 NNW, NJ US","41.006785","-74.266384","89.0","2021",,,,,
"US1NJPS0040","WAYNE TWP 4.2 NNW, NJ US","41.006785","-74.266384","89.0","2022",,,,,
"US1NJPS0040","WAYNE TWP 4.2 NNW, NJ US","41.006785","-74.266384","89.0","2023",,,,,
"USC00288644","SUSSEX 1 NW, NJ US","41.21863","-74.62105","190.8","2021",,,,,
"USC00288644","SUSSEX 1 NW, NJ US","41.21863","-74.62105","190.8","2022",,,,,
"USC00288644","SUSSEX 1 NW, NJ US","41.21863","-74.62105","190.8","2023",,,,,
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2021","9","99","55.1","64.6","45.5"
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2022","5","101","54.5","64.8","44.2"
"USC00281335","CANOE BROOK, NJ US","40.7436","-74.3539","54.9","2023","5","97","55.6","65.6","45.5"
"US1NJMC0038","EAST WINDSOR TWP 1.6 W, NJ US","40.2628","-74.5593","33.2","2022",,,,,
"US1NJMC0038","EAST WINDSOR TWP 1.6 W, NJ US","40.2628","-74.5593","33.2","2023",,,,,
"USC00281211","ROEBLING, NJ US","40.11712","-74.77362","14.6","2021",,,,,
"USC00281211","ROEBLING, NJ US","40.11712","-74.77362","14.6","2022",,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2021",,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2022",,,,,
"US1NJHN0003","CLINTON 1.6 ENE, NJ US","40.641802","-74.88274","94.2","2023",,,,,
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2021","16","97","55.9","65.3","46.5"
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2022","6","99","55.1","65.2","44.9"
"USC00286864","PENNSAUKEN 1 N, NJ US","39.96617","-75.02186","14.0","2023",,"97",,"66.2",
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2021",,,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2022",,,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","40.6945","-74.3898","113.1","2023",,,,,
"US1NJHN0001","CALIFON 0.6 NW, NJ US","40.726083","-74.843256","178.3","2023",,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2021",,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2022",,,,,
"US1NJMN0064","HOWELL TWP 3.7 SSW, NJ US","40.1302","-74.2145","29.6","2023",,,,,
"USC00288880","EWING 3 WNW, NJ US","40.28507","-74.84204","53.6","2023","8","93","54.9","64.8","45.0"
"US1NJBT0090","EVESHAM TWP 2.6 NNW, NJ US","39.8959923951514","-74.9125401637304","25.0","2023",,,,,
"USC00286460","OAK RIDGE RESERVOIR, NJ US","41.03564","-74.50124","258.2","2023",,,,,
"USC00280927","BOUND BROOK 2 W, NJ US","40.55602","-74.57178","16.8","2022",,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2021",,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2022",,,,,
"US1NJBT0004","MOUNT LAUREL TWP 2.5 ENE, NJ US","39.968377","-74.864779","10.1","2023",,,,,
"US1NJMN0104","LITTLE SILVER 0.3 NNW, NJ US","40.340039","-74.03722","5.8","2021",,,,,
"US1NJMN0104","LITTLE SILVER 0.3 NNW, NJ US","40.340039","-74.03722","5.8","2022",,,,,
"US1NJBT0003","BURLINGTON 1.7 E, NJ US","40.0786","-74.8209","7.0","2021",,,,,
"US1NJBT0003","BURLINGTON 1.7 E, NJ US","40.0786","-74.8209","7.0","2022",,,,,
"US1NJBT0003","BURLINGTON 1.7 E, NJ US","40.0786","-74.8209","7.0","2023",,,,,
"US1NJBT0089","MEDFORD TWP 3.3 N, NJ US","39.911158","-74.81347","15.5","2023",,,,,
"US1NJCM0017","WILDWOOD CREST 0.1 WSW, NJ US","38.9716809","-74.83976","0.3","2021",,,,,
"US1NJCM0017","WILDWOOD CREST 0.1 WSW, NJ US","38.9716809","-74.83976","0.3","2022",,,,,
"US1NJCM0017","WILDWOOD CREST 0.1 WSW, NJ US","38.9716809","-74.83976","0.3","2023",,,,,
"US1NJMD0074","HIGHLAND PARK 0.5 E, NJ US","40.50039","-74.41942","36.3","2022",,,,,
"US1NJMD0074","HIGHLAND PARK 0.5 E, NJ US","40.50039","-74.41942","36.3","2023",,,,,
"US1NJSS0001","ANDOVER TWP 1.7 W, NJ US","41.0197442772322","-74.761061668396","202.1","2021",,,,,
"US1NJSS0001","ANDOVER TWP 1.7 W, NJ US","41.0197442772322","-74.761061668396","202.1","2022",,,,,
"US1NJSS0001","ANDOVER TWP 1.7 W, NJ US","41.0197442772322","-74.761061668396","202.1","2023",,,,,
"US1NJCD0017","MAURICE RIVER TWP 5.3 S, NJ US","39.228337","-74.926626","3.7","2021",,,,,
"US1NJCD0017","MAURICE RIVER TWP 5.3 S, NJ US","39.228337","-74.926626","3.7","2023",,,,,
"US1NJPS0042","WAYNE TWP 2.3 ESE, NJ US","40.9306","-74.207","137.5","2023",,,,,
"US1NJMD0078","EAST BRUNSWICK TWP 0.8 NNE, NJ US","40.43875","-74.41266","29.3","2021",,,,,
"US1NJMD0078","EAST BRUNSWICK TWP 0.8 NNE, NJ US","40.43875","-74.41266","29.3","2023",,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2021",,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2022",,,,,
"US1NJSS0007","HARDYSTON TWP 3.2 SE, NJ US","41.089027","-74.539946","323.4","2023",,,,,
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2021","8","94","51.6","61.1","42.2"
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2022","-1","94","50.9","61.1","40.7"
"USC00281582","CHARLOTTEBURG RESERVOIR, NJ US","41.02996","-74.42477","237.1","2023","-3","93","52.4","62.1","42.7"
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2021",,,,,
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2022",,,,,
"US1NJSS0054","SPARTA TWP 3.6 SSW, NJ US","41.005038","-74.663585","321.3","2023",,,,,
"US1NJAT0013","EGG HARBOR TWP 1.3 NW, NJ US","39.3928594","-74.6247975","16.5","2021",,,,,
"US1NJAT0013","EGG HARBOR TWP 1.3 NW, NJ US","39.3928594","-74.6247975","16.5","2022",,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2021",,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2022",,,,,
"US1NJCN0005","WINSLOW TWP 3.5 W, NJ US","39.71095","-74.96793","43.0","2023",,,,,
"US1NJMC0065","HAMILTON TWP 2.6 NNE, NJ US","40.2361489316549","-74.6502706307096","27.1","2022",,,,,
"US1NJMC0065","HAMILTON TWP 2.6 NNE, NJ US","40.2361489316549","-74.6502706307096","27.1","2023",,,,,
"US1NJAT0017","EGG HARBOR CITY 3.6 SW, NJ US","39.531434","-74.647077","17.4","2022",,,,,
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2021","11","95","56.6","66.2","47.1"
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2022","8","99","55.5","65.7","45.3"
"USW00093730","ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US","39.45203","-74.56701","17.8","2023","12","97","56.6","66.6","46.5"
"US1NJHN0031","FRENCHTOWN 0.5 N, NJ US","40.5342","-75.0559","88.4","2021",,,,,
"US1NJHN0031","FRENCHTOWN 0.5 N, NJ US","40.5342","-75.0559","88.4","2022",,,,,
"USC00289187","WANAQUE RAYMOND DAM, NJ US","41.04156","-74.29718","71.9","2021",,,,,
"USC00289187","WANAQUE RAYMOND DAM, NJ US","41.04156","-74.29718","71.9","2022",,,,,
"USC00289187","WANAQUE RAYMOND DAM, NJ US","41.04156","-74.29718","71.9","2023",,,,,
"US1NJCM0044","LOWER TWP 1.5 NNE, NJ US","39.001129","-74.894675","6.1","2021",,,,,
"US1NJCM0044","LOWER TWP 1.5 NNE, NJ US","39.001129","-74.894675","6.1","2022",,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2021",,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2022",,,,,
"US1NJCM0046","WOODBINE 0.8 NW, NJ US","39.23601","-74.82042","12.8","2023",,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2021",,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2022",,,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","40.7523914426565","-74.4297203421593","108.8","2023",,,,,
"US1NJMD0028","NEW BRUNSWICK 0.3 NE, NJ US","40.4896492","-74.4408766","12.5","2021",,,,,
"US1NJMD0028","NEW BRUNSWICK 0.3 NE, NJ US","40.4896492","-74.4408766","12.5","2022",,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2021",,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2022",,,,,
"US1NJSS0059","NEWTON 0.3 W, NJ US","41.053504","-74.758084","225.9","2023",,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2021",,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2022",,,,,
"US1NJMS0054","MOUNT OLIVE TWP 0.6 W, NJ US","40.8674583435059","-74.7536392211914","293.5","2023",,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2021",,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2022",,,,,
"US1NJCM0040","LOWER TWP 2.4 W, NJ US","38.980722","-74.953975","4.9","2023",,,,,
"US1NJSS0062","FRANKLIN 0.5 NNE, NJ US","41.117487","-74.583958","199.0","2022",,,,,
"US1NJSS0062","FRANKLIN 0.5 NNE, NJ US","41.117487","-74.583958","199.0","2023",,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2021",,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2022",,,,,
"US1NJAT0001","BUENA VISTA TWP 2.6 NNE, NJ US","39.54826","-74.867069","31.4","2023",,,,,
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2021","15","94","57.8","66.1","49.5"
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2022","11","95","56.7","65.4","48.0"
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2023","16","94","58.2","66.7","49.7"
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2021","15","100","55.4","64.2","46.6"
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2022","5","100","54.5","63.6","45.4"
"USC00284987","LONG BRANCH OAKHURST, NJ US","40.29698","-74.00153","9.1","2023","6","97","55.6","64.0","47.1"
"US1NJBG0017","GLEN ROCK 0.7 SSE, NJ US","40.95109","-74.118264","28.0","2021",,,,,
"US1NJBG0017","GLEN ROCK 0.7 SSE, NJ US","40.95109","-74.118264","28.0","2023",,,,,
"USC00289911","WRIGHTSTOWN, NJ US","40.03644","-74.6103","39.0","2023",,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2021",,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2022",,,,,
"US1NJAT0002","HAMILTON TWP 5.5 NW, NJ US","39.55646343","-74.80483285","14.0","2023",,,,,
"US1NJBG0015","NORTH ARLINGTON 0.7 WNW, NJ US","40.791492","-74.13979","17.7","2021",,,,,
"US1NJBG0015","NORTH ARLINGTON 0.7 WNW, NJ US","40.791492","-74.13979","17.7","2023",,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2021",,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2022",,,,,
"USC00286480","OCEAN CITY, NJ US","39.26267","-74.60568","2.7","2023",,,,,
"US1NJSM0094","GREEN BROOK TWP 0.9 S, NJ US","40.5915","-74.4848","15.8","2022",,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2021",,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2022",,,,,
"US1NJMN0048","LONG BRANCH 0.5 W, NJ US","40.296952","-74.00151","7.9","2023",,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2021",,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2022",,,,,
"US1NJCM0034","MIDDLE TWP 4.2 NNW, NJ US","39.1431478","-74.8538074","4.0","2023",,,,,
"US1NJSM0092","FRANKLIN TWP 3.4 NNW, NJ US","40.523236","-74.570204","25.6","2022",,,,,
"US1NJSM0092","FRANKLIN TWP 3.4 NNW, NJ US","40.523236","-74.570204","25.6","2023",,,,,
"US1NJOC0088","JACKSON TWP 5.6 ESE, NJ US","40.077361","-74.256145","50.6","2021",,,,,
"US1NJOC0088","JACKSON TWP 5.6 ESE, NJ US","40.077361","-74.256145","50.6","2022",,,,,
"US1NJOC0088","JACKSON TWP 5.6 ESE, NJ US","40.077361","-74.256145","50.6","2023",,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2021",,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2022",,,,,
"US1NJMS0102","CHATHAM 0.6 NE, NJ US","40.74671","-74.376616","61.3","2023",,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2021",,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2022",,,,,
"US1NJCM0038","OCEAN CITY 1.6 SW, NJ US","39.251715","-74.619766","1.5","2023",,,,,
"US1NJMD0095","MIDDLESEX 0.1 ENE, NJ US","40.5752","-74.4989","14.3","2021",,,,,
"US1NJMD0095","MIDDLESEX 0.1 ENE, NJ US","40.5752","-74.4989","14.3","2022",,,,,
"US1NJMD0095","MIDDLESEX 0.1 ENE, NJ US","40.5752","-74.4989","14.3","2023",,,,,
"USC00284229","INDIAN MILLS 2 W, NJ US","39.79952","-74.78042","30.5","2021","5","95","55.9","66.9","44.9"
"USC00284229","INDIAN MILLS 2 W, NJ US","39.79952","-74.78042","30.5","2022",,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2021",,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2022",,,,,
"US1NJWR0001","GREENWICH TWP 1.6 S, NJ US","40.6554433962532","-75.1167011260986","118.6","2023",,,,,
"US1NJSM0012","FRANKLIN TWP 3.8 ENE, NJ US","40.500581","-74.487521","25.6","2021",,,,,
"US1NJSM0012","FRANKLIN TWP 3.8 ENE, NJ US","40.500581","-74.487521","25.6","2022",,,,,
"US1NJMS0061","WASHINGTON TWP 3.6 W, NJ US","40.78532","-74.86121","224.9","2022",,,,,
"US1NJGL0052","MANTUA TWP 2.1 ESE, NJ US","39.750946","-75.132301","31.7","2023",,,,,
"US1NJOC0006","BRICK TWP 1.5 NNE, NJ US","40.079664","-74.098941","6.7","2021",,,,,
"US1NJOC0006","BRICK TWP 1.5 NNE, NJ US","40.079664","-74.098941","6.7","2022",,,,,
"US1NJOC0006","BRICK TWP 1.5 NNE, NJ US","40.079664","-74.098941","6.7","2023",,,,,
"US1NJSM0011","BEDMINSTER TWP 2.9 ESE, NJ US","40.656339","-74.630458","157.3","2021",,,,,
"US1NJWR0005","HACKETTSTOWN 0.8 W, NJ US","40.851547","-74.840304","170.1","2021",,,,,
"US1NJWR0005","HACKETTSTOWN 0.8 W, NJ US","40.851547","-74.840304","170.1","2022",,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2023",,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2021",,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2022",,,,,
"US1NJMS0071","DENVILLE TWP 1.5 ESE, NJ US","40.88053","-74.46311","161.5","2023",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","39.64415","-74.80478","38.1","2021",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","39.64415","-74.80478","38.1","2023",,,,,
"US1NJAT0031","ABSECON CITY 0.4 E, NJ US","39.42201","-74.48705","3.0","2021",,,,,
"US1NJAT0031","ABSECON CITY 0.4 E, NJ US","39.42201","-74.48705","3.0","2022",,,,,
"USC00284635","LAMBERTVILLE, NJ US","40.35958","-74.94461","20.7","2021",,,,,
"USC00284635","LAMBERTVILLE, NJ US","40.35958","-74.94461","20.7","2022",,,,,
"USC00284635","LAMBERTVILLE, NJ US","40.35958","-74.94461","20.7","2023",,,,,
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2021",,,,,
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2022",,,,,
"USC00283029","FLEMINGTON 5 NNW, NJ US","40.57404","-74.88158","80.8","2023","5","96","53.8","64.8","42.8"
"USW00054793","SUSSEX AIRPORT, NJ US","41.19925","-74.62592","127.5","2021","3","96","52.3","62.7","41.8"
"USW00054793","SUSSEX AIRPORT, NJ US","41.19925","-74.62592","127.5","2022",,,,,
"USW00054793","SUSSEX AIRPORT, NJ US","41.19925","-74.62592","127.5","2023",,,,,
"US1NJCN0024","MOUNT EPHRAIM 0.2 NNE, NJ US","39.883927","-75.090167","7.6","2021",,,,,
"US1NJCN0024","MOUNT EPHRAIM 0.2 NNE, NJ US","39.883927","-75.090167","7.6","2022",,,,,
"US1NJMC0002","HAMILTON TWP 2.3 NE, NJ US","40.2286263784272","-74.6471536159515","24.7","2021",,,,,
"US1NJMC0002","HAMILTON TWP 2.3 NE, NJ US","40.2286263784272","-74.6471536159515","24.7","2022",,,,,
"US1NJMC0002","HAMILTON TWP 2.3 NE, NJ US","40.2286263784272","-74.6471536159515","24.7","2023",,,,,
"USR0000JEBF","EB FORSYTHE NEW JERSEY, NJ US","39.5","-74.5","396.2","2021","13","95","56.9","65.4","48.5"
"USR0000JEBF","EB FORSYTHE NEW JERSEY, NJ US","39.5","-74.5","396.2","2022","8","95","55.8","64.6","47.0"
"USR0000JEBF","EB FORSYTHE NEW JERSEY, NJ US","39.5","-74.5","396.2","2023","11","97","57.4","66.0","48.8"
"USC00289363","WERTSVILLE 4 NE, NJ US","40.45201","-74.77911","86.3","2021",,,,,
"USC00289363","WERTSVILLE 4 NE, NJ US","40.45201","-74.77911","86.3","2022","2","98","52.9","63.4","42.4"
"USC00289363","WERTSVILLE 4 NE, NJ US","40.45201","-74.77911","86.3","2023","5","95","53.5","64.1","42.9"
"US1NJOC0012","STAFFORD TWP 2.1 NW, NJ US","39.728719","-74.289391","21.0","2023",,,,,
"US1NJOC0013","POINT PLEASANT BEACH 0.5 SW, NJ US","40.087813","-74.05201","4.0","2021",,,,,
"US1NJOC0013","POINT PLEASANT BEACH 0.5 SW, NJ US","40.087813","-74.05201","4.0","2022",,,,,
"US1NJOC0013","POINT PLEASANT BEACH 0.5 SW, NJ US","40.087813","-74.05201","4.0","2023",,,,,
"US1NJMS0113","JEFFERSON TWP 3.1 WSW, NJ US","40.987043","-74.610596","282.5","2022",,,,,
"US1NJMS0113","JEFFERSON TWP 3.1 WSW, NJ US","40.987043","-74.610596","282.5","2023",,,,,
"US1NJSM0005","BRIDGEWATER TWP 3.4 NW, NJ US","40.626232","-74.65474","32.9","2021",,,,,
"US1NJSM0005","BRIDGEWATER TWP 3.4 NW, NJ US","40.626232","-74.65474","32.9","2022",,,,,
"US1NJSM0005","BRIDGEWATER TWP 3.4 NW, NJ US","40.626232","-74.65474","32.9","2023",,,,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","40.855695","-74.235564","108.5","2021",,,,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","40.855695","-74.235564","108.5","2023",,,,,
"US1NJMS0111","MOUNT OLIVE TWP 1.6 NNW, NJ US","40.885517","-74.759639","316.4","2022",,,,,
"US1NJMS0111","MOUNT OLIVE TWP 1.6 NNW, NJ US","40.885517","-74.759639","316.4","2023",,,,,
"USC00283704","HARRISON, NJ US","40.7481","-74.152","7.3","2021","14","101","56.2","64.8","47.6"
"USC00283704","HARRISON, NJ US","40.7481","-74.152","7.3","2022","5","102","55.7","64.7","46.7"
"USC00283704","HARRISON, NJ US","40.7481","-74.152","7.3","2023","3","97","56.9","65.6","48.2"
"USC00285728","MOORESTOWN 4 E, NJ US","39.96834","-74.86499","10.1","2021",,,,,
"USC00285728","MOORESTOWN 4 E, NJ US","39.96834","-74.86499","10.1","2022",,,,,
"USC00285728","MOORESTOWN 4 E, NJ US","39.96834","-74.86499","10.1","2023","11","96","55.9","66.6","45.2"
"US1NJGL0044","SOUTH HARRISON TWP 2.1 ESE, NJ US","39.68253","-75.22395","45.7","2021",,,,,
